nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48091.40,2.4216,12805.80,0.6448,0.5923,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48037.10,2.4189,13154.90,0.6624,0.6091,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47688.20,2.4013,14530.90,0.7317,0.6728,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47985.80,2.4163,14172.60,0.7137,0.6562,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47837.00,2.4088,13679.60,0.6888,0.6334,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47925.00,2.4133,14486.00,0.7294,0.6707,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48352.40,2.4348,14590.10,0.7347,0.6756,2157,1.7382,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48488.30,2.4416,13338.80,0.6717,0.6176,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48531.50,2.4438,13061.80,0.6577,0.6048,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48573.10,2.4459,14948.70,0.7527,0.6922,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48102.60,2.4222,14115.00,0.7108,0.6536,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48342.70,2.4343,13554.80,0.6825,0.6276,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48062.60,2.4202,14489.40,0.7296,0.6709,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48576.20,2.4460,14841.30,0.7473,0.6864,2163,1.7431,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,48819.50,2.4583,13742.00,0.6920,0.6356,2150,1.7326,0.00,29.44
